"","Subject","next_scan_date","scan_number","previous_hours"
"1",1,2015-01-29,1,0
"2",1,2015-02-27,2,13
"3",1,2015-10-22,3,14.5
"4",2,2014-12-05,1,0
"5",2,2015-05-27,2,11
"6",2,2015-10-19,3,7.5
"7",3,2014-12-11,1,0
"8",3,2015-04-08,2,19
"9",3,2015-05-08,3,23
"10",5,2014-12-16,1,0
"11",5,2015-05-04,2,9
"12",5,2015-10-07,3,5
"13",6,2015-01-14,1,0
"14",6,2015-06-25,2,22
"15",7,2015-01-29,1,0
"16",7,2015-04-10,2,21
"17",7,2015-07-08,3,14
"18",8,2015-02-26,1,0
"19",8,2015-06-15,2,16
"20",9,2015-01-21,1,0
"21",9,2015-07-01,2,3
"22",9,2015-10-21,3,15.5
"23",10,2015-01-23,1,3
"24",10,2015-03-28,3,30
"25",10,2015-04-19,2,31
"26",11,2015-06-10,1,0
"27",11,2016-01-11,2,0
"28",11,2016-07-07,3,6
"29",13,2015-10-26,1,0
"30",13,2016-05-02,2,12
"31",14,2015-08-13,1,0
"32",14,2015-12-02,2,9
"33",14,2016-07-12,3,0
"34",15,2015-08-31,1,0
"35",15,2015-12-08,2,18
"36",16,2015-12-16,1,0
"37",16,2016-05-06,2,7
"38",16,2016-07-20,3,21
"39",17,2015-11-12,1,0
"40",17,2016-02-16,2,18
"41",17,2016-03-18,3,26
"42",18,2015-11-20,1,26
"43",19,2015-11-17,1,0
"44",19,2016-03-25,2,22
"45",19,2016-05-26,3,32.5
"46",20,2015-11-20,1,0
"47",21,2015-11-05,1,0
"48",21,2016-03-22,2,4
"49",21,2016-05-27,3,17
